# taring - hands off
"# ambient_hPa,1020.38"
"# ambient_C,20.37"
# send f to fire
"# plenum_C_start,20.75"
"# tank_C_start,17.75"
"# plenum_C_end,20.25"
"# tank_C_end,17.50"
# done
ms,valve,thrust_g,tank_g,psi
0,0,0.77,0.92,-0.03
3,0,0.68,0.90,-0.03
37,0,0.77,0.98,-0.03
126,0,0.79,0.95,-0.03
216,0,0.87,0.97,-0.03
305,0,1.30,1.03,-0.03
395,0,1.34,1.05,-0.03
484,0,0.70,0.91,-0.03
575,1,3.29,0.76,8.04
664,1,42.32,-1.81,3.64
754,1,107.42,-8.38,1.26
844,1,142.46,-13.39,0.52
933,1,151.05,-16.67,0.34
1023,1,143.60,-18.20,0.34
1112,1,144.86,-18.28,0.16
1202,1,143.89,-18.70,0.16
1291,1,144.63,-19.08,0.34
1381,1,146.29,-19.20,0.16
1471,1,143.47,-19.33,0.16
1561,1,144.30,-19.58,0.16
1650,1,143.91,-19.77,-0.03
1740,1,143.25,-19.88,0.16
1829,1,145.85,-20.34,0.34
1919,1,143.62,-20.32,0.16
2008,1,143.83,-20.47,0.34
2098,1,144.78,-20.67,0.34
2187,1,143.21,-20.90,0.16
2277,1,144.59,-20.92,0.16
2367,1,144.98,-21.21,0.16
2457,1,144.26,-21.18,0.16
2546,0,142.96,-21.50,0.16
2636,0,131.64,-21.45,-0.03
2726,0,120.78,-20.74,-0.03
2815,0,98.44,-19.87,-0.03
2905,0,67.52,-18.59,-0.03
2994,0,37.05,-15.74,-0.03
3084,0,13.28,-12.60,-0.21
3173,0,4.30,-10.41,-0.03
3264,0,2.01,-9.45,-0.03
3353,0,1.39,-9.17,-0.03
3442,0,1.01,-9.04,-0.03
3532,0,0.12,-8.84,-0.03
3622,0,-0.17,-8.60,-0.03
3711,0,-0.27,-8.78,-0.03
3801,0,-0.85,-8.54,-0.21
3890,0,-0.54,-8.41,-0.03
3980,0,-1.14,-8.46,-0.03
