# taring - hands off
"# ambient_hPa,1020.49"
"# ambient_C,20.49"
# send f to fire
"# plenum_C_start,20.50"
"# tank_C_start,16.25"
"# plenum_C_end,20.25"
"# tank_C_end,16.00"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-1.84,0.03,0.00
3,0,-2.30,0.06,0.00
57,0,-2.88,0.08,0.00
145,0,-2.19,0.07,0.00
233,0,-1.76,-0.03,0.00
321,0,-2.40,0.03,0.19
409,0,-3.08,0.17,0.00
497,0,-3.06,0.12,0.00
587,1,-3.02,-0.13,4.04
675,1,12.74,-1.84,2.94
763,1,74.41,-4.08,1.47
851,1,103.43,-6.09,0.55
939,1,102.77,-7.97,0.19
1027,1,100.06,-9.08,0.19
1115,1,96.13,-9.59,0.19
1203,1,95.48,-9.85,0.19
1291,1,95.38,-10.22,0.19
1379,1,94.47,-10.60,0.19
1467,1,95.03,-10.98,0.19
1555,1,94.68,-11.06,0.19
1643,1,95.19,-11.19,0.19
1731,1,96.66,-11.35,0.19
1819,1,95.90,-11.48,0.19
1908,1,96.73,-11.37,0.19
1997,1,95.13,-11.61,0.19
2085,1,94.88,-11.74,0.19
2173,1,96.58,-11.80,0.19
2261,1,95.32,-11.94,0.19
2349,1,94.28,-12.08,0.19
2437,1,95.13,-12.21,0.19
2525,0,94.66,-12.29,0.00
2613,0,84.27,-12.09,0.00
2701,0,75.32,-11.57,0.19
2789,0,57.92,-10.61,0.00
2877,0,32.97,-8.97,0.19
2966,0,14.17,-6.93,0.00
3056,0,6.06,-5.64,0.00
3146,0,2.88,-5.15,0.00
3236,0,1.99,-4.76,0.00
3325,0,1.18,-4.64,0.00
3415,0,1.70,-4.54,-0.18
3504,0,0.58,-4.39,0.00
3594,0,-1.22,-4.33,0.00
3683,0,-0.41,-4.22,0.00
3773,0,-1.24,-4.16,0.00
3862,0,-2.50,-4.21,0.00
3952,0,-2.21,-4.17,0.00
