# taring - hands off
"# ambient_hPa,1020.49"
"# ambient_C,19.22"
# send f to fire
"# plenum_C_start,20.50"
"# tank_C_start,14.25"
"# plenum_C_end,20.50"
"# tank_C_end,14.25"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-56.82,-1613.33,0.02
3,0,-57.28,-1613.05,0.02
69,0,-57.59,-1612.82,0.02
157,0,-57.77,-1613.15,0.02
245,0,-57.46,-1613.20,0.02
334,0,-57.40,-1612.85,0.02
424,0,-57.71,-1612.95,0.02
514,1,-55.00,-1613.36,4.97
603,1,3.72,-1614.54,1.12
693,1,93.77,-1615.12,0.57
782,1,66.52,-1615.15,0.39
873,1,38.95,-1615.44,0.21
962,1,36.18,-1616.27,0.21
1052,1,35.48,-1616.15,0.39
1141,1,32.27,-1616.56,0.21
1231,1,32.91,-1616.56,0.39
1321,1,32.56,-1617.01,0.21
1410,1,31.69,-1616.57,0.21
1500,1,32.91,-1617.22,0.02
1589,1,31.05,-1616.99,0.21
1680,1,30.84,-1617.29,0.39
1769,1,30.57,-1616.96,0.39
1859,1,29.15,-1617.43,0.39
1949,1,29.79,-1617.26,0.39
2038,1,29.62,-1617.61,0.02
2128,1,29.02,-1617.35,0.39
2217,1,29.19,-1617.78,0.21
2307,1,29.52,-1617.83,0.21
2396,1,29.70,-1617.90,0.39
2486,1,28.61,-1617.78,0.39
2577,0,26.68,-1617.99,0.02
2666,0,18.08,-1617.93,0.02
2756,0,13.67,-1617.43,0.02
2845,0,3.29,-1617.40,0.02
2935,0,-11.87,-1617.09,0.02
3024,0,-27.88,-1616.85,0.02
3114,0,-39.88,-1615.70,0.21
3204,0,-46.31,-1615.59,0.02
3293,0,-49.42,-1614.99,0.21
3383,0,-51.18,-1615.14,0.02
3473,0,-52.52,-1614.59,0.02
3563,0,-53.78,-1614.92,0.02
3652,0,-55.29,-1614.51,0.21
3742,0,-55.04,-1614.90,0.02
3832,0,-54.61,-1614.31,0.21
3921,0,-55.73,-1614.76,0.02
