# taring - hands off
"# ambient_hPa,1019.92"
"# ambient_C,19.67"
# send f to fire
"# plenum_C_start,19.75"
"# tank_C_start,18.75"
"# plenum_C_end,19.50"
"# tank_C_end,18.75"
# done
ms,valve,thrust_g,tank_g,psi
0,0,0.46,-0.04,0.16
3,0,0.35,0.03,-0.02
49,0,0.23,0.05,-0.02
138,0,0.35,0.04,-0.02
228,0,0.70,-0.04,-0.02
317,0,0.29,-0.08,0.16
408,0,0.33,-0.09,-0.02
497,0,0.10,-0.01,0.16
587,1,1.63,-0.02,4.01
677,1,37.38,-1.60,2.54
766,1,93.79,-5.44,1.44
856,1,109.30,-8.26,0.53
945,1,111.27,-10.47,0.34
1035,1,111.91,-12.13,0.16
1125,1,111.25,-12.63,0.34
1215,1,110.32,-13.02,0.34
1305,1,110.87,-13.14,0.34
1394,1,111.00,-13.13,0.16
1484,1,110.98,-13.09,0.34
1573,1,111.08,-13.22,0.34
1663,1,109.92,-13.30,0.34
1752,1,109.80,-13.43,0.16
1842,1,109.74,-13.55,0.34
1931,1,109.28,-13.55,0.16
2021,1,107.98,-13.69,0.16
2112,1,108.23,-13.74,0.16
2201,1,109.05,-13.85,0.16
2291,1,108.83,-13.87,0.34
2380,1,108.12,-14.19,0.53
2470,1,107.85,-14.19,0.16
2559,0,106.59,-14.25,0.16
2649,0,96.02,-14.22,-0.02
2738,0,82.91,-14.10,-0.02
2828,0,58.00,-13.47,-0.02
2917,0,33.12,-11.42,0.16
3008,0,19.57,-8.79,0.16
3098,0,14.38,-7.19,0.16
3187,0,11.91,-6.35,-0.02
3277,0,10.82,-6.00,-0.02
3366,0,9.64,-5.68,-0.02
3456,0,9.39,-5.35,-0.02
3545,0,9.49,-5.25,-0.02
3635,0,8.56,-5.11,-0.02
3724,0,8.44,-5.01,-0.21
3814,0,9.83,-4.91,-0.02
3904,0,9.37,-4.81,-0.02
3994,0,8.54,2.19,-0.21
