# taring - hands off
"# ambient_hPa,1020.78"
"# ambient_C,21.99"
# send f to fire
"# plenum_C_start,22.75"
"# tank_C_start,20.25"
"# plenum_C_end,22.50"
"# tank_C_end,20.25"
# done
ms,valve,thrust_g,tank_g,psi
0,0,0.99,-0.13,-0.19
2,0,0.50,-0.13,-0.01
55,0,0.70,-0.08,-0.01
144,0,1.16,-0.07,-0.01
234,0,1.76,-0.12,-0.01
323,0,1.88,-0.12,-0.01
413,0,0.91,-0.11,-0.01
503,1,3.45,-0.26,5.49
592,1,45.90,-2.18,4.02
682,1,122.11,-6.99,1.46
771,1,146.29,-10.94,0.72
861,1,154.58,-14.51,0.36
950,1,145.63,-16.25,0.36
1040,1,140.23,-16.68,0.17
1129,1,141.20,-16.96,0.17
1219,1,141.10,-17.14,0.17
1308,1,140.25,-17.31,0.36
1398,1,142.15,-17.40,0.17
1488,1,142.05,-17.29,0.36
1577,1,141.28,-17.50,0.17
1667,1,140.62,-17.59,0.36
1756,1,140.48,-17.76,0.36
1846,1,141.68,-17.88,0.36
1935,1,140.97,-18.03,0.36
2024,1,141.53,-18.17,0.36
2114,1,140.97,-18.28,0.36
2203,1,140.06,-18.17,0.54
2294,1,140.70,-18.48,0.36
2383,1,140.76,-18.57,0.54
2473,1,140.19,-18.76,0.36
2562,0,138.45,-18.68,0.17
2651,0,125.54,-18.79,-0.01
2741,0,98.90,-17.71,-0.01
2830,0,58.08,-16.06,-0.01
2920,0,21.39,-12.14,-0.19
3009,0,3.85,-8.16,-0.19
3098,0,1.18,-5.61,-0.19
3189,0,2.59,-5.14,-0.01
3278,0,3.70,-5.28,-0.01
3368,0,4.30,-4.70,-0.01
3457,0,3.64,-4.51,-0.01
3546,0,3.14,-4.65,-0.01
3636,0,3.50,-4.33,-0.01
3725,0,3.72,-4.03,-0.01
3815,0,4.67,-4.35,-0.01
3904,0,4.70,-4.07,-0.01
3993,0,4.84,-3.82,-0.01
