# taring - hands off
"# ambient_hPa,1019.94"
"# ambient_C,19.80"
# send f to fire
"# plenum_C_start,19.75"
"# tank_C_start,18.25"
"# plenum_C_end,19.75"
"# tank_C_end,18.25"
# done
ms,valve,thrust_g,tank_g,psi
0,0,1.78,0.00,-0.21
3,0,2.09,-0.09,-0.02
75,0,1.82,-0.03,-0.02
163,0,2.54,0.08,-0.02
251,0,2.34,0.16,-0.02
339,0,1.76,0.06,-0.02
427,0,1.74,0.02,-0.02
515,1,1.90,-0.06,1.08
603,1,9.06,-0.85,1.08
691,1,34.09,-1.22,1.08
780,1,44.95,-1.45,0.71
868,1,45.76,-1.73,0.53
956,1,46.54,-2.18,0.34
1044,1,46.87,-2.36,0.34
1132,1,47.10,-2.60,0.16
1221,1,46.91,-2.97,0.16
1309,1,46.71,-3.23,0.34
1397,1,46.48,-3.39,0.16
1485,1,44.89,-3.48,0.16
1573,1,44.64,-3.65,0.34
1661,1,44.29,-3.69,0.34
1749,1,44.41,-3.86,0.34
1837,1,44.80,-3.99,0.16
1925,1,44.54,-4.10,0.34
2013,1,43.17,-4.15,0.34
2101,1,43.81,-4.41,0.16
2189,1,43.58,-4.49,0.16
2277,1,42.49,-4.61,0.16
2366,1,42.16,-4.62,0.16
2454,1,42.34,-4.81,0.16
2543,0,41.08,-4.87,-0.02
2631,0,32.00,-4.78,-0.02
2719,0,19.88,-4.77,-0.02
2807,0,5.98,-4.79,-0.02
2895,0,1.20,-4.39,-0.21
2983,0,0.41,-4.12,-0.02
3071,0,-0.68,-3.92,-0.02
3159,0,-1.61,-3.84,-0.02
3247,0,-1.80,-3.72,-0.02
3335,0,-2.17,-3.59,-0.02
3423,0,-3.25,-3.63,-0.02
3512,0,-3.60,-3.69,-0.02
3602,0,-3.39,-3.63,0.16
3691,0,-2.77,-3.53,-0.02
3782,0,-2.15,-3.65,-0.02
3871,0,-3.54,-3.67,-0.02
3961,0,-3.54,-3.65,-0.02
