# taring - hands off
"# ambient_hPa,1020.80"
"# ambient_C,21.98"
# send f to fire
"# plenum_C_start,22.75"
"# tank_C_start,19.75"
"# plenum_C_end,22.25"
"# tank_C_end,19.75"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-0.04,0.09,0.01
2,0,0.41,-0.03,0.01
21,0,1.12,-0.03,0.01
111,0,1.32,-0.09,0.01
200,0,0.77,-0.09,-0.17
289,0,0.58,-0.14,0.01
379,0,0.00,-0.11,0.01
468,0,-0.02,-0.04,-0.17
558,1,2.75,-0.19,5.33
648,1,58.73,-2.22,3.86
738,1,165.38,-6.88,1.84
827,1,184.70,-10.72,0.56
917,1,160.95,-14.33,0.56
1006,1,143.58,-16.22,0.38
1095,1,137.06,-16.62,0.38
1185,1,133.50,-16.96,0.19
1274,1,135.70,-17.15,0.38
1364,1,133.53,-17.46,0.19
1453,1,134.64,-17.54,0.38
1543,1,134.44,-17.49,0.38
1633,1,133.09,-17.64,0.38
1722,1,134.89,-17.81,0.19
1812,1,134.10,-17.98,0.38
1901,1,133.98,-17.95,0.38
1991,1,133.79,-18.14,0.38
2080,1,132.76,-18.25,0.38
2169,1,133.71,-18.34,0.38
2259,1,133.28,-18.23,0.38
2348,1,133.84,-18.53,0.56
2439,1,133.44,-18.64,0.38
2528,0,131.19,-18.90,0.01
2617,0,118.47,-18.63,-0.17
2707,0,90.62,-17.77,0.01
2796,0,53.12,-15.78,-0.17
2886,0,17.02,-11.96,0.01
2975,0,-1.53,-8.06,0.01
3064,0,-3.48,-5.82,0.01
3154,0,-2.67,-5.28,0.01
3243,0,-2.15,-5.16,0.01
3334,0,-1.80,-4.60,0.19
3423,0,-1.88,-4.43,0.01
3512,0,-1.51,-4.53,0.01
3602,0,-1.08,-4.13,0.01
3691,0,-0.35,-4.04,-0.17
3781,0,0.27,-4.23,0.01
3870,0,-0.12,-3.93,-0.17
3960,0,-0.64,-3.65,-0.17
