# taring - hands off
"# ambient_hPa,1020.49"
"# ambient_C,20.45"
# send f to fire
"# plenum_C_start,20.50"
"# tank_C_start,16.00"
"# plenum_C_end,20.50"
"# tank_C_end,15.75"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-1.74,-2899.28,-0.01
3,0,-1.30,-2899.25,-0.19
40,0,-0.99,-2899.70,-0.01
128,0,-1.08,-2899.22,-0.19
217,0,-1.20,-2899.41,-0.01
305,0,-1.74,-2899.12,-0.01
393,0,-1.20,-2899.33,-0.19
481,0,-0.93,-2899.36,-0.01
569,1,-0.52,-2899.51,1.27
657,1,13.53,-2899.87,0.91
745,1,37.92,-2900.17,0.91
833,1,41.37,-2900.47,0.36
921,1,39.34,-2900.95,0.17
1010,1,37.75,-2901.51,-0.01
1098,1,36.51,-2902.40,-0.01
1186,1,35.72,-2902.66,0.17
1274,1,35.74,-2902.67,0.17
1362,1,35.06,-2902.89,-0.01
1450,1,35.54,-2902.90,0.17
1538,1,35.68,-2903.06,0.17
1626,1,34.86,-2903.16,0.17
1714,1,34.32,-2903.27,-0.01
1803,1,34.48,-2903.37,0.17
1892,1,34.23,-2903.66,0.17
1981,1,34.30,-2903.36,0.17
2071,1,33.63,-2903.69,0.17
2161,1,32.89,-2903.72,0.17
2251,1,32.81,-2903.87,-0.01
2340,1,32.93,-2903.67,0.17
2430,1,32.79,-2904.13,0.17
2519,0,32.17,-2904.01,-0.01
2609,0,21.89,-2903.81,-0.01
2698,0,17.56,-2903.42,-0.19
2788,0,10.30,-2903.58,-0.01
2877,0,5.77,-2903.28,-0.01
2967,0,4.16,-2903.12,-0.01
3057,0,3.76,-2902.70,-0.01
3147,0,2.85,-2902.80,-0.01
3236,0,2.90,-2902.68,-0.01
3326,0,2.96,-2902.79,-0.01
3415,0,1.97,-2902.55,-0.01
3505,0,1.01,-2902.83,-0.01
3594,0,1.24,-2902.80,-0.01
3684,0,1.10,-2902.68,-0.01
3774,0,1.37,-2902.58,0.17
3863,0,2.03,-2902.80,0.17
3954,0,0.60,-2902.77,-0.01
