# taring - hands off
"# ambient_hPa,1020.51"
"# ambient_C,19.56"
# send f to fire
"# plenum_C_start,19.75"
"# tank_C_start,13.50"
"# plenum_C_end,20.50"
"# tank_C_end,13.50"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-16.59,-795.84,-0.01
3,0,-16.30,-795.46,-0.01
67,0,-16.28,-795.46,-0.01
157,0,-16.30,-795.54,-0.01
247,0,-16.96,-795.48,-0.01
337,0,-17.44,-795.32,-0.01
427,0,-17.46,-795.58,-0.01
516,1,-15.00,-795.42,1.45
606,1,1.90,-795.43,0.90
695,1,12.83,-796.46,0.35
785,1,11.73,-795.77,0.17
874,1,19.07,-796.37,0.17
964,1,18.33,-797.00,0.17
1053,1,15.95,-797.71,0.17
1144,1,15.12,-796.97,0.17
1234,1,13.40,-797.66,0.17
1323,1,13.76,-797.41,0.17
1413,1,13.03,-797.66,0.17
1502,1,12.16,-797.42,-0.01
1592,1,13.18,-798.12,-0.01
1681,1,12.12,-797.58,0.35
1771,1,12.72,-798.24,0.35
1860,1,12.95,-798.01,0.17
1950,1,11.58,-798.31,0.35
2041,1,12.16,-798.22,0.17
2130,1,12.10,-798.59,0.17
2220,1,12.51,-798.27,0.35
2309,1,11.81,-798.61,0.17
2399,1,11.21,-798.75,0.35
2488,1,12.10,-798.77,0.35
2578,0,9.80,-799.08,-0.01
2667,0,2.09,-798.78,0.17
2757,0,-0.60,-798.20,-0.01
2846,0,-8.75,-798.30,-0.01
2937,0,-13.14,-798.11,0.17
3027,0,-13.71,-798.41,-0.01
3116,0,-14.17,-798.26,0.17
3206,0,-14.40,-798.44,0.17
3295,0,-14.19,-797.97,-0.01
3385,0,-13.51,-798.40,-0.01
3474,0,-14.44,-798.03,-0.01
3564,0,-14.58,-798.17,-0.01
3654,0,-14.09,-798.08,-0.01
3744,0,-14.15,-798.36,0.17
3834,0,-13.94,-797.90,-0.01
3923,0,-14.89,-798.27,0.17
