# taring - hands off
"# ambient_hPa,1020.50"
"# ambient_C,18.77"
# send f to fire
"# plenum_C_start,20.50"
"# tank_C_start,15.25"
"# plenum_C_end,20.25"
"# tank_C_end,15.00"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-0.83,-0.07,-0.19
3,0,-0.29,-0.10,-0.01
33,0,-0.12,-0.10,-0.01
123,0,-0.41,-0.01,0.17
212,0,-0.79,-0.00,-0.01
302,0,-1.03,-0.09,-0.19
392,0,-0.87,-0.14,-0.01
481,0,-0.70,-0.18,-0.01
572,1,2.85,-0.14,11.17
661,1,75.05,-1.19,2.92
751,1,202.90,-4.97,0.72
841,1,175.33,-8.79,0.54
930,1,140.60,-10.65,0.17
1020,1,116.50,-11.75,0.17
1110,1,103.66,-12.44,0.17
1199,1,112.72,-12.87,0.17
1289,1,103.10,-13.13,0.36
1378,1,104.92,-13.27,0.17
1469,1,109.90,-13.11,0.17
1559,1,100.30,-13.43,0.36
1648,1,106.53,-13.47,0.36
1738,1,105.60,-13.43,0.36
1827,1,100.97,-13.65,0.17
1917,1,106.99,-13.82,0.17
2007,1,101.73,-13.96,0.36
2096,1,101.28,-14.24,0.36
2186,1,104.30,-14.45,0.36
2276,1,100.14,-14.32,0.17
2366,1,103.34,-14.50,0.36
2456,1,101.92,-14.60,0.17
2545,0,98.36,-14.69,-0.01
2635,0,91.93,-14.62,-0.01
2724,0,83.51,-14.38,-0.19
2814,0,72.61,-13.80,-0.01
2904,0,55.35,-13.17,-0.01
2993,0,30.01,-12.35,-0.01
3083,0,5.11,-10.75,-0.19
3173,0,-17.58,-8.59,0.17
3263,0,-27.18,-6.62,-0.01
3353,0,-28.34,-5.28,-0.01
3442,0,-30.66,-4.60,-0.01
3532,0,-30.57,-4.50,0.17
3621,0,-31.50,-4.39,-0.01
3711,0,-32.56,-3.99,-0.01
3801,0,-32.68,-3.92,0.17
3890,0,-34.13,-3.84,-0.01
3980,0,-34.28,-3.89,-0.01
