# taring - hands off
"# ambient_hPa,1020.49"
"# ambient_C,19.64"
# send f to fire
"# plenum_C_start,20.50"
"# tank_C_start,13.25"
"# plenum_C_end,20.50"
"# tank_C_end,13.25"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-0.08,0.05,-0.03
3,0,0.17,0.02,0.16
50,0,-0.48,0.03,-0.03
140,0,-0.97,0.00,-0.03
229,0,-0.31,-0.03,0.16
320,0,0.37,-0.10,-0.03
409,0,0.58,0.03,-0.03
499,0,-0.04,0.00,-0.03
588,1,2.25,-0.06,1.44
678,1,32.27,-0.63,1.07
768,1,59.14,-0.62,0.34
857,1,41.50,-0.62,0.16
947,1,35.10,-1.29,0.34
1036,1,36.70,-1.72,0.16
1126,1,33.53,-1.80,0.34
1216,1,30.95,-1.90,0.16
1306,1,33.06,-2.00,0.34
1395,1,30.14,-2.10,0.16
1485,1,30.47,-2.19,0.16
1575,1,30.39,-2.23,0.16
1664,1,28.79,-2.37,0.16
1754,1,30.41,-2.46,0.16
1843,1,28.84,-2.60,0.34
1933,1,29.62,-2.56,0.16
2022,1,30.76,-2.78,0.16
2113,1,28.30,-2.77,0.16
2202,1,29.15,-2.84,0.34
2292,1,29.06,-2.95,0.34
2382,1,29.19,-3.13,0.16
2471,1,29.68,-3.11,0.16
2561,0,26.85,-3.20,-0.03
2650,0,18.06,-3.19,-0.21
2740,0,14.71,-2.91,-0.03
2829,0,7.74,-2.62,-0.03
2919,0,3.52,-2.55,0.16
3009,0,1.74,-2.48,-0.03
3099,0,1.86,-2.43,-0.03
3188,0,1.24,-2.62,-0.03
3278,0,0.74,-2.61,-0.21
3367,0,1.51,-2.54,-0.03
3457,0,1.20,-2.52,-0.03
3547,0,1.53,-2.44,-0.03
3636,0,2.30,-2.41,-0.03
3726,0,1.41,-2.45,-0.03
3815,0,1.70,-2.42,0.16
3906,0,1.59,-2.44,-0.03
3995,0,0.89,-2.42,-0.03
