# taring - hands off
"# ambient_hPa,1020.48"
"# ambient_C,19.40"
# send f to fire
"# plenum_C_start,20.50"
"# tank_C_start,14.25"
"# plenum_C_end,20.25"
"# tank_C_end,14.25"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-0.06,0.06,-0.05
2,0,-0.12,-0.04,-0.05
65,0,1.12,0.05,-0.23
155,0,1.05,0.12,-0.05
244,0,0.04,0.12,-0.05
334,0,-0.12,-0.08,-0.05
424,0,0.81,0.05,-0.05
513,1,3.21,0.14,5.27
603,1,62.02,-0.97,1.97
693,1,156.59,-2.81,0.50
783,1,137.70,-3.65,0.32
872,1,104.30,-4.07,0.14
962,1,96.99,-4.77,0.14
1052,1,95.94,-5.30,0.32
1141,1,94.26,-5.41,0.32
1231,1,93.83,-5.49,0.14
1320,1,93.37,-5.56,0.32
1410,1,92.36,-5.65,0.14
1499,1,93.04,-5.60,0.32
1590,1,92.86,-5.85,0.50
1680,1,92.20,-5.93,0.32
1769,1,91.33,-6.19,0.32
1859,1,91.06,-6.16,0.14
1948,1,91.76,-6.27,0.14
2038,1,91.64,-6.35,0.14
2127,1,91.51,-6.56,0.14
2217,1,91.26,-6.49,0.32
2307,1,90.52,-6.62,0.32
2396,1,90.75,-6.67,0.32
2487,1,90.87,-6.87,0.32
2576,0,88.20,-6.97,-0.05
2666,0,79.56,-6.98,-0.23
2755,0,75.46,-6.62,-0.05
2845,0,64.25,-6.25,-0.05
2934,0,50.74,-6.00,-0.05
3024,0,33.20,-5.53,-0.05
3114,0,18.82,-5.03,-0.05
3203,0,12.93,-4.41,-0.23
3294,0,9.91,-4.11,-0.05
3383,0,8.61,-3.73,0.14
3473,0,6.66,-3.76,-0.05
3562,0,5.79,-3.53,-0.05
3652,0,5.59,-3.50,-0.05
3741,0,5.38,-3.39,-0.05
3831,0,4.14,-3.45,-0.05
3921,0,3.74,-3.26,-0.05
