# taring - hands off
"# ambient_hPa,1019.98"
"# ambient_C,19.84"
# send f to fire
"# plenum_C_start,20.00"
"# tank_C_start,18.00"
"# plenum_C_end,19.75"
"# tank_C_end,18.00"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-0.54,-0.04,-0.01
3,0,-0.64,-0.14,-0.01
76,0,1.01,-0.10,-0.01
166,0,0.95,-0.09,-0.01
256,0,1.20,-0.12,-0.01
346,0,0.89,-0.10,-0.01
436,0,0.21,-0.05,-0.01
525,1,2.09,-0.10,1.09
615,1,23.85,-0.61,1.09
704,1,46.87,-0.91,0.90
794,1,49.40,-1.04,0.72
883,1,49.21,-1.35,0.54
973,1,49.11,-1.93,0.17
1062,1,49.02,-2.28,0.17
1152,1,49.79,-2.68,0.17
1243,1,49.19,-2.86,0.17
1332,1,48.38,-3.03,0.17
1422,1,47.16,-3.10,0.35
1511,1,45.82,-3.28,0.17
1601,1,44.49,-3.45,0.17
1690,1,44.74,-3.49,0.35
1780,1,45.49,-3.65,0.17
1869,1,45.18,-3.85,-0.01
1959,1,43.73,-3.99,0.17
2048,1,43.71,-4.02,0.17
2139,1,43.58,-4.25,0.17
2228,1,44.02,-4.26,0.17
2318,1,44.27,-4.33,0.35
2408,1,43.85,-4.40,0.17
2497,1,43.54,-4.63,-0.01
2587,0,41.76,-4.77,-0.01
2676,0,31.96,-4.79,-0.01
2766,0,20.44,-4.54,0.17
2855,0,8.15,-4.58,-0.01
2946,0,3.56,-4.28,-0.01
3035,0,3.31,-4.13,-0.01
3125,0,3.54,-3.88,-0.01
3214,0,4.01,-3.72,-0.01
3304,0,3.43,-3.66,-0.01
3393,0,2.96,-3.72,-0.01
3483,0,3.14,-3.78,-0.01
3572,0,3.64,-3.70,-0.01
3662,0,2.73,-3.64,-0.01
3752,0,3.08,-3.43,-0.01
3842,0,4.03,-3.40,-0.01
3932,0,3.29,-3.35,-0.01
