# taring - hands off
"# ambient_hPa,1019.90"
"# ambient_C,19.56"
# send f to fire
"# plenum_C_start,20.00"
"# tank_C_start,19.50"
"# plenum_C_end,19.75"
"# tank_C_end,19.25"
# done
ms,valve,thrust_g,tank_g,psi
0,0,0.72,-0.17,-0.00
3,0,0.08,-0.04,-0.00
31,0,0.39,-0.13,0.18
121,0,1.18,-0.07,-0.00
210,0,1.03,-0.13,-0.00
300,0,0.50,-0.26,-0.00
389,0,1.22,-0.14,-0.00
480,0,0.93,-0.11,-0.00
570,1,2.59,-0.18,3.66
659,1,39.72,-1.60,2.75
749,1,97.04,-5.21,1.46
838,1,113.13,-8.13,0.36
928,1,116.69,-10.33,0.36
1018,1,117.47,-11.77,0.36
1107,1,118.38,-12.00,0.36
1197,1,118.11,-12.22,0.36
1286,1,117.93,-12.26,0.36
1377,1,118.28,-12.36,0.36
1466,1,118.28,-12.39,0.18
1556,1,118.28,-12.57,0.55
1645,1,117.85,-12.60,0.36
1735,1,118.30,-12.71,0.18
1825,1,117.64,-12.83,0.55
1914,1,117.60,-12.91,0.18
2004,1,117.08,-12.95,0.36
2093,1,116.56,-13.06,0.36
2183,1,117.33,-13.21,0.18
2273,1,116.96,-13.23,0.36
2363,1,116.98,-13.39,0.36
2452,1,117.22,-13.40,0.36
2542,0,115.80,-13.55,-0.19
2632,0,105.31,-13.54,-0.00
2721,0,91.68,-13.47,0.18
2811,0,64.06,-12.85,-0.00
2900,0,35.50,-10.77,-0.00
2990,0,23.40,-8.13,-0.00
3079,0,19.98,-6.50,-0.00
3170,0,18.74,-5.70,-0.00
3259,0,18.08,-5.33,-0.00
3349,0,17.79,-5.05,-0.00
3438,0,16.76,-4.75,-0.00
3528,0,15.85,-4.69,-0.00
3618,0,16.67,-4.56,-0.00
3707,0,16.22,-4.39,-0.00
3797,0,14.65,-4.38,-0.00
3886,0,14.62,-4.37,-0.00
3976,0,14.38,-4.29,-0.19
