# taring - hands off
"# ambient_hPa,1020.47"
"# ambient_C,20.26"
# send f to fire
"# plenum_C_start,20.75"
"# tank_C_start,15.75"
"# plenum_C_end,20.50"
"# tank_C_end,15.75"
# done
ms,valve,thrust_g,tank_g,psi
0,0,2.32,0.62,-0.03
3,0,2.32,0.43,-0.03
38,0,2.21,0.51,-0.03
126,0,2.71,0.45,-0.03
214,0,3.37,0.60,-0.03
302,0,2.94,0.51,-0.03
390,0,3.85,0.51,-0.03
478,0,3.52,0.32,-0.03
566,1,3.93,0.45,1.07
654,1,18.68,-0.30,0.89
742,1,41.81,-0.35,0.89
830,1,43.61,-0.84,0.71
918,1,43.50,-1.28,0.34
1006,1,43.07,-1.97,-0.03
1094,1,40.94,-2.36,0.16
1182,1,40.21,-2.71,0.16
1272,1,38.60,-2.86,-0.03
1360,1,38.56,-2.87,0.16
1448,1,38.19,-2.98,0.16
1536,1,37.48,-3.13,0.16
1624,1,37.09,-3.23,-0.03
1712,1,37.15,-3.23,-0.03
1800,1,37.75,-3.51,0.16
1888,1,37.40,-3.40,0.16
1978,1,36.90,-3.50,0.16
2067,1,37.65,-3.67,-0.03
2157,1,37.13,-3.85,0.34
2246,1,36.92,-3.80,0.16
2337,1,37.15,-4.02,-0.03
2427,1,37.03,-4.09,0.16
2516,0,34.63,-4.18,-0.03
2606,0,24.28,-3.87,0.16
2695,0,19.59,-3.71,-0.03
2785,0,12.60,-3.50,-0.03
2874,0,8.25,-3.44,-0.21
2964,0,7.30,-3.09,-0.03
3053,0,6.76,-3.03,0.16
3143,0,6.47,-2.87,-0.03
3233,0,6.37,-2.72,-0.03
3323,0,5.23,-2.52,-0.03
3412,0,4.39,-2.59,-0.03
3502,0,3.64,-2.68,0.16
3591,0,3.70,-2.59,-0.03
3681,0,4.01,-2.57,-0.03
3771,0,3.81,-2.57,-0.03
3860,0,3.60,-2.60,-0.03
3950,0,3.52,-2.57,-0.03
