# taring - hands off
"# ambient_hPa,1020.00"
"# ambient_C,19.87"
# send f to fire
"# plenum_C_start,19.75"
"# tank_C_start,17.75"
"# plenum_C_end,19.75"
"# tank_C_end,17.75"
# done
ms,valve,thrust_g,tank_g,psi
0,0,0.33,-0.13,-0.02
3,0,1.14,-0.00,-0.02
67,0,1.05,0.04,-0.02
156,0,2.03,-0.00,-0.02
247,0,2.07,0.00,-0.02
336,0,1.08,0.11,-0.02
426,0,1.41,0.07,-0.02
515,1,3.58,-0.07,1.08
605,1,24.33,-0.44,1.26
694,1,48.01,-0.77,0.89
784,1,52.00,-1.01,0.89
873,1,51.84,-1.45,0.53
963,1,52.23,-1.93,0.16
1052,1,52.31,-2.23,0.34
1143,1,52.31,-2.56,0.16
1233,1,50.95,-2.86,0.34
1322,1,50.16,-3.13,0.34
1412,1,49.38,-3.22,0.34
1501,1,48.22,-3.32,0.16
1591,1,48.32,-3.42,0.34
1680,1,47.99,-3.53,0.16
1770,1,48.14,-3.68,0.16
1859,1,47.25,-3.81,0.34
1949,1,46.44,-3.82,0.16
2039,1,46.31,-3.93,0.16
2129,1,45.63,-4.22,0.16
2218,1,45.51,-4.35,0.16
2308,1,45.86,-4.48,0.16
2397,1,46.07,-4.53,0.34
2487,1,45.90,-4.67,0.16
2577,0,44.23,-4.80,-0.02
2666,0,33.80,-4.85,-0.02
2756,0,22.42,-4.63,-0.21
2845,0,11.23,-4.65,-0.02
2936,0,6.72,-4.43,-0.02
3025,0,4.86,-4.17,-0.21
3115,0,4.39,-4.02,-0.02
3204,0,3.10,-4.06,-0.02
3294,0,3.00,-4.09,-0.02
3383,0,2.79,-4.10,0.16
3473,0,2.48,-3.86,-0.02
3562,0,2.48,-3.73,-0.02
3652,0,2.17,-3.83,-0.02
3741,0,1.45,-3.80,-0.02
3832,0,1.22,-3.77,-0.02
3921,0,1.01,-3.79,-0.02
