# taring - hands off
"# ambient_hPa,1020.81"
"# ambient_C,22.01"
# send f to fire
"# plenum_C_start,22.50"
"# tank_C_start,19.25"
"# plenum_C_end,22.25"
"# tank_C_end,19.25"
# done
ms,valve,thrust_g,tank_g,psi
0,0,0.37,-0.03,0.04
2,0,0.50,0.02,0.04
16,0,-0.68,-0.01,0.04
105,0,-0.39,0.00,0.04
195,0,0.54,0.09,0.04
284,0,0.60,-0.02,0.04
374,0,0.39,-0.12,0.04
463,0,0.54,-0.11,0.04
553,1,2.38,-0.14,1.51
642,1,32.17,-1.10,1.32
731,1,75.13,-1.69,1.14
821,1,80.43,-2.18,0.96
911,1,77.53,-2.58,0.77
1001,1,75.92,-2.81,0.59
1090,1,70.54,-3.21,0.22
1180,1,64.62,-3.50,0.41
1269,1,62.28,-3.66,0.41
1358,1,59.22,-3.85,0.41
1448,1,59.12,-4.16,0.41
1537,1,58.97,-4.13,0.22
1627,1,58.25,-4.18,0.41
1716,1,58.04,-4.27,0.41
1807,1,56.99,-4.41,0.22
1896,1,56.91,-4.52,0.41
1985,1,57.13,-4.69,0.22
2075,1,56.10,-4.76,0.41
2164,1,55.98,-4.91,0.41
2254,1,55.83,-4.96,0.22
2343,1,55.87,-5.02,0.41
2432,1,56.66,-5.21,0.41
2522,0,55.62,-5.41,0.04
2611,0,42.84,-5.29,0.04
2702,0,24.06,-4.76,-0.14
2791,0,8.19,-4.66,-0.14
2880,0,1.80,-4.16,0.04
2970,0,0.52,-3.83,-0.14
3059,0,0.62,-3.56,-0.14
3149,0,0.81,-3.55,0.04
3238,0,-0.04,-3.48,-0.14
3328,0,-1.08,-3.37,0.04
3417,0,-1.78,-3.30,0.22
3506,0,-1.08,-3.26,0.04
3597,0,-1.30,-3.26,0.04
3686,0,-1.12,-3.22,-0.14
3776,0,-1.41,-3.22,0.04
3865,0,-1.41,-3.16,0.04
3955,0,-1.30,-3.13,0.04
