# taring - hands off
"# ambient_hPa,1020.42"
"# ambient_C,20.34"
# send f to fire
"# plenum_C_start,20.50"
"# tank_C_start,16.00"
"# plenum_C_end,20.25"
"# tank_C_end,16.50"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-2.92,0.33,-0.04
2,0,-2.61,0.30,-0.04
31,0,-2.52,0.26,-0.04
121,0,-2.30,0.31,0.14
210,0,-2.81,0.24,0.14
300,0,-2.77,0.27,-0.04
389,0,-2.59,0.26,-0.22
479,0,-2.07,0.18,-0.04
568,1,0.17,0.13,8.02
658,1,41.04,-1.64,3.81
747,1,106.61,-5.66,1.43
838,1,139.48,-9.82,0.51
927,1,148.05,-12.92,0.33
1017,1,144.53,-14.36,0.14
1107,1,147.69,-14.62,0.14
1196,1,145.13,-14.92,0.14
1286,1,145.15,-15.18,0.33
1375,1,146.58,-15.39,0.14
1465,1,144.16,-15.72,0.14
1554,1,145.46,-16.04,0.14
1645,1,144.10,-16.27,-0.04
1734,1,142.56,-16.36,0.33
1824,1,144.03,-16.69,0.14
1913,1,143.41,-16.75,0.14
2003,1,143.41,-17.02,0.33
2092,1,143.91,-17.00,0.33
2182,1,143.72,-17.07,0.33
2271,1,144.76,-17.00,0.14
2361,1,143.25,-17.34,0.14
2450,1,142.67,-17.28,0.14
2541,0,140.87,-17.53,-0.04
2630,0,130.67,-17.51,-0.22
2720,0,123.04,-17.04,-0.04
2809,0,104.50,-16.16,-0.22
2899,0,79.27,-15.40,-0.04
2988,0,51.65,-13.08,-0.04
3078,0,26.83,-10.00,0.14
3167,0,13.71,-7.45,-0.04
3257,0,8.15,-6.06,-0.04
3346,0,5.77,-5.53,-0.04
3437,0,4.16,-5.32,-0.04
3526,0,2.69,-5.22,-0.04
3616,0,2.71,-4.86,-0.04
3705,0,3.08,-4.90,-0.04
3795,0,2.50,-4.69,-0.04
3885,0,1.72,-4.64,-0.04
3974,0,1.45,-4.66,-0.04
