# taring - hands off
"# ambient_hPa,1020.56"
"# ambient_C,18.64"
# send f to fire
"# plenum_C_start,20.75"
"# tank_C_start,15.50"
"# plenum_C_end,20.25"
"# tank_C_end,15.25"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-0.29,-0.11,-0.03
3,0,-0.19,0.13,0.15
19,0,0.33,0.06,-0.03
109,0,0.06,-0.14,0.15
199,0,-0.06,-0.07,0.15
288,0,-0.95,0.11,-0.03
378,0,-0.19,0.06,0.15
468,0,-0.04,0.01,-0.03
557,1,3.45,-0.13,10.23
647,1,76.58,-1.72,2.17
737,1,199.14,-5.77,0.33
827,1,119.13,-8.80,0.33
917,1,47.41,-9.96,0.15
1006,1,15.74,-10.97,0.15
1096,1,8.48,-11.47,0.33
1186,1,15.87,-11.80,0.15
1275,1,4.63,-12.15,0.33
1365,1,8.21,-12.17,0.33
1454,1,10.09,-12.24,0.33
1544,1,1.61,-12.62,0.15
1635,1,8.87,-12.56,0.15
1724,1,6.43,-12.40,0.33
1814,1,2.11,-12.71,0.15
1903,1,8.13,-12.86,0.33
1993,1,3.58,-12.92,0.33
2083,1,5.46,-13.02,0.15
2172,1,8.40,-13.15,0.33
2262,1,3.45,-13.18,0.33
2351,1,6.93,-13.44,0.33
2442,1,5.17,-13.47,0.15
2532,0,2.34,-13.51,-0.03
2621,0,-4.05,-13.61,-0.03
2711,0,-13.96,-13.28,-0.03
2801,0,-25.09,-12.56,-0.22
2890,0,-43.09,-11.87,-0.03
2980,0,-68.12,-11.06,-0.03
3070,0,-92.34,-9.17,-0.22
3159,0,-116.38,-7.00,-0.03
3249,0,-127.11,-5.20,-0.03
3339,0,-128.19,-4.24,-0.03
3429,0,-130.94,-3.54,-0.03
3519,0,-130.40,-3.44,-0.03
3608,0,-132.06,-3.19,-0.03
3698,0,-131.99,-3.12,-0.40
3787,0,-131.21,-3.05,-0.03
3877,0,-132.59,-2.90,-0.03
3967,0,-132.99,-2.66,-0.03
