# taring - hands off
"# ambient_hPa,1020.48"
"# ambient_C,19.49"
# send f to fire
"# plenum_C_start,20.50"
"# tank_C_start,13.75"
"# plenum_C_end,20.25"
"# tank_C_end,13.75"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-0.64,-0.05,-0.02
3,0,-1.12,-0.06,-0.20
76,0,-0.41,-0.03,-0.02
166,0,-0.25,-0.01,-0.02
256,0,-0.29,-0.05,-0.02
345,0,0.33,-0.12,0.16
435,0,0.14,-0.10,-0.02
524,1,0.25,-0.05,-0.02
614,1,0.00,-0.12,0.16
704,1,-0.35,-0.18,-0.02
794,1,1.37,-0.05,0.16
883,1,1.59,-0.01,6.21
973,1,22.05,-0.33,2.55
1063,1,107.09,-1.95,0.53
1152,1,141.51,-3.28,0.35
1242,1,116.11,-4.07,0.35
1331,1,93.81,-4.74,0.16
1421,1,95.92,-5.31,0.16
1510,1,96.52,-5.65,0.35
1601,1,88.49,-5.84,0.35
1691,1,95.57,-6.07,0.35
1780,1,93.48,-6.07,0.16
1870,1,88.31,-6.24,0.35
1959,1,94.72,-6.20,0.35
2049,1,90.23,-6.25,0.35
2138,1,91.06,-6.19,0.16
2228,1,93.77,-6.33,0.16
2317,1,89.32,-6.36,0.16
2407,1,91.57,-6.59,0.16
2498,1,90.27,-6.69,0.16
2587,0,86.98,-6.71,-0.02
2677,0,81.58,-6.73,-0.02
2766,0,73.74,-6.56,-0.02
2856,0,63.15,-6.17,0.16
2945,0,49.83,-5.96,-0.02
3035,0,30.61,-4.85,-0.02
3125,0,17.60,-4.30,0.16
3214,0,9.95,-3.89,-0.02
3305,0,6.89,-3.75,-0.02
3394,0,6.99,-3.55,-0.02
3484,0,4.74,-3.43,-0.02
3573,0,4.80,-3.26,-0.02
3663,0,4.82,-3.26,-0.02
3752,0,3.16,-3.23,-0.02
3842,0,3.00,-3.08,-0.02
3931,0,2.19,-3.08,-0.02
