# taring - hands off
"# ambient_hPa,1019.87"
"# ambient_C,19.11"
# send f to fire
"# plenum_C_start,20.00"
"# tank_C_start,20.00"
"# plenum_C_end,19.50"
"# tank_C_end,20.00"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-1.10,0.03,-0.04
3,0,-0.58,0.11,-0.23
72,0,0.29,0.04,-0.23
162,0,-0.33,0.01,-0.04
251,0,-0.58,0.08,-0.04
341,0,-0.50,0.02,-0.04
430,0,-1.39,0.03,-0.04
520,1,1.57,0.06,7.84
610,1,47.02,-0.95,3.62
700,1,129.33,-4.44,1.24
790,1,151.96,-8.06,0.51
880,1,150.11,-12.97,0.32
969,1,149.49,-15.97,0.14
1059,1,147.34,-16.59,0.14
1148,1,146.64,-17.06,0.32
1238,1,147.14,-17.11,0.14
1328,1,147.49,-17.44,0.14
1417,1,148.23,-17.37,0.14
1507,1,147.74,-17.73,0.32
1597,1,147.98,-17.71,0.32
1687,1,147.74,-17.98,0.32
1776,1,147.28,-17.87,0.32
1866,1,147.01,-18.19,0.32
1956,1,147.07,-18.13,0.32
2045,1,147.65,-18.41,0.32
2135,1,147.38,-18.47,0.32
2224,1,146.66,-18.63,0.14
2314,1,146.89,-18.53,0.32
2403,1,146.83,-18.79,0.32
2494,1,147.63,-18.97,0.32
2584,0,145.56,-19.13,-0.23
2673,0,135.01,-19.16,-0.04
2763,0,122.95,-18.91,-0.04
2852,0,97.72,-18.47,-0.04
2942,0,66.15,-16.94,-0.04
3032,0,36.28,-8.67,-0.04
3121,0,18.78,-6.20,-0.04
3211,0,12.74,-5.46,-0.04
3300,0,10.51,-5.14,-0.04
3391,0,10.01,-4.90,-0.04
3480,0,8.61,-4.87,0.14
3570,0,8.07,-4.58,-0.04
3659,0,7.53,-4.58,-0.04
3749,0,6.97,-4.54,0.14
3839,0,7.03,-4.56,-0.04
3928,0,6.31,-4.46,-0.04
