# taring - hands off
"# ambient_hPa,1020.48"
"# ambient_C,19.93"
# send f to fire
"# plenum_C_start,20.75"
"# tank_C_start,15.25"
"# plenum_C_end,20.50"
"# tank_C_end,15.25"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-0.70,-0.06,-0.02
2,0,0.02,-0.07,-0.02
57,0,0.41,0.05,-0.02
146,0,-0.21,0.01,-0.02
236,0,-0.23,-0.02,-0.02
325,0,0.79,0.09,-0.02
415,0,1.53,0.05,-0.20
505,1,3.21,-0.09,1.08
595,1,23.00,-0.54,0.90
684,1,40.27,-0.80,0.71
774,1,40.23,-0.89,0.53
864,1,38.95,-1.34,0.16
953,1,37.79,-1.86,0.16
1043,1,36.61,-2.29,-0.02
1132,1,36.80,-2.59,0.16
1222,1,36.34,-2.76,0.16
1311,1,35.95,-2.94,0.35
1402,1,35.23,-2.95,0.16
1492,1,34.28,-3.11,0.16
1581,1,34.11,-3.17,0.16
1671,1,34.36,-3.23,0.16
1760,1,34.17,-3.29,0.16
1850,1,34.23,-3.42,0.16
1939,1,34.11,-3.47,0.16
2029,1,34.32,-3.54,0.35
2118,1,34.03,-3.66,0.16
2208,1,33.22,-3.71,0.16
2299,1,32.97,-3.85,-0.02
2388,1,33.24,-3.87,0.16
2478,1,33.16,-3.96,0.16
2567,0,30.39,-4.06,-0.02
2657,0,21.66,-4.06,-0.02
2746,0,17.73,-3.74,-0.02
2836,0,10.03,-3.65,-0.02
2925,0,5.77,-3.60,-0.02
3015,0,5.03,-3.43,-0.02
3104,0,4.30,-3.27,-0.02
3195,0,3.41,-3.12,-0.02
3285,0,3.76,-3.04,-0.02
3374,0,4.26,-2.96,-0.02
3464,0,3.23,-2.96,-0.02
3553,0,2.32,-2.91,-0.02
3643,0,2.85,-2.85,-0.02
3732,0,3.06,-2.73,-0.02
3822,0,2.42,-2.90,-0.02
3911,0,3.12,-2.77,-0.02
