# taring - hands off
"# ambient_hPa,1020.48"
"# ambient_C,19.68"
# send f to fire
"# plenum_C_start,20.50"
"# tank_C_start,13.00"
"# plenum_C_end,20.50"
"# tank_C_end,13.00"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-0.66,0.12,-0.03
2,0,-0.66,0.11,0.16
92,0,-0.62,-0.05,-0.03
181,0,0.04,-0.07,0.16
271,0,-0.39,-0.01,-0.03
360,0,-0.54,-0.01,-0.03
451,0,-0.81,0.02,-0.03
540,1,1.05,0.03,1.26
630,1,30.14,-0.48,1.07
720,1,61.08,-0.50,0.52
809,1,51.94,-0.55,0.16
899,1,38.54,-1.13,0.16
988,1,34.81,-1.61,0.34
1078,1,33.22,-1.76,0.16
1167,1,30.68,-1.90,0.16
1258,1,32.04,-1.90,-0.03
1347,1,31.57,-2.00,0.16
1437,1,29.56,-2.18,0.16
1527,1,30.45,-2.28,0.16
1616,1,29.95,-2.35,0.16
1706,1,29.70,-2.35,0.16
1795,1,30.01,-2.54,0.34
1885,1,29.25,-2.65,0.16
1974,1,30.12,-2.83,0.34
2064,1,29.89,-2.86,0.34
2154,1,29.35,-2.97,0.34
2244,1,29.37,-3.01,0.16
2333,1,29.10,-3.09,0.16
2423,1,29.02,-3.18,0.16
2513,0,27.90,-3.26,0.16
2602,0,19.65,-3.25,-0.21
2692,0,15.85,-2.89,-0.03
2781,0,6.93,-2.59,-0.03
2871,0,3.29,-2.49,-0.03
2960,0,2.81,-2.60,-0.03
3051,0,2.23,-2.58,-0.03
3140,0,1.76,-2.60,-0.03
3230,0,0.85,-2.60,-0.03
3319,0,1.82,-2.60,-0.03
3409,0,2.48,-2.57,-0.03
3499,0,2.30,-2.55,-0.03
3588,0,1.26,-2.47,-0.03
3678,0,0.85,-2.50,-0.03
3767,0,1.16,-2.54,-0.03
3857,0,1.68,-2.43,-0.03
3947,0,1.34,-2.48,-0.03
