# taring - hands off
"# ambient_hPa,1019.87"
"# ambient_C,18.84"
# send f to fire
"# plenum_C_start,20.00"
"# tank_C_start,20.25"
"# plenum_C_end,19.75"
"# tank_C_end,20.25"
# done
ms,valve,thrust_g,tank_g,psi
0,0,1.82,-0.01,-0.05
2,0,1.08,0.05,-0.05
26,0,0.85,0.03,-0.05
115,0,0.56,-0.01,-0.05
205,0,0.14,-0.02,-0.05
295,0,0.60,-0.05,-0.05
384,0,0.66,0.00,-0.05
474,0,0.91,0.01,0.13
563,1,3.48,0.03,5.81
653,1,46.50,-1.40,1.96
744,1,131.99,-5.70,0.49
833,1,149.35,-10.60,0.31
923,1,146.02,-13.40,-0.05
1013,1,147.20,-14.67,0.31
1102,1,146.25,-14.67,0.31
1192,1,145.98,-15.03,0.31
1281,1,145.11,-15.14,0.31
1371,1,143.91,-15.53,0.13
1461,1,144.14,-15.25,0.13
1550,1,143.31,-15.54,0.31
1641,1,143.68,-15.41,0.13
1730,1,143.50,-15.63,0.13
1820,1,143.12,-15.75,0.31
1910,1,143.16,-16.07,0.31
1999,1,143.29,-15.95,0.31
2089,1,142.81,-16.21,0.31
2178,1,142.96,-16.24,0.31
2268,1,142.50,-16.37,-0.05
2358,1,142.05,-16.41,0.13
2448,1,141.53,-16.66,-0.05
2538,0,140.52,-16.72,-0.05
2627,0,130.53,-16.73,-0.05
2717,0,120.08,-16.47,-0.05
2807,0,99.99,-16.07,-0.05
2896,0,70.35,-14.58,-0.05
2986,0,41.56,-11.71,-0.05
3075,0,18.89,-7.96,-0.05
3165,0,8.21,-5.10,-0.05
3254,0,5.54,-4.09,-0.05
3345,0,3.58,-3.81,-0.05
3435,0,2.57,-3.54,-0.05
3524,0,1.72,-3.11,-0.05
3614,0,1.34,-3.27,-0.05
3703,0,1.94,-3.08,0.13
3793,0,1.78,-2.98,-0.05
3883,0,1.65,-3.05,-0.05
3972,0,1.80,-2.80,-0.05
