# taring - hands off
"# ambient_hPa,1020.61"
"# ambient_C,21.83"
# send f to fire
"# plenum_C_start,22.00"
"# tank_C_start,19.25"
"# plenum_C_end,22.00"
"# tank_C_end,21.25"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-1.37,0.02,-0.13
3,0,-0.97,-0.01,0.05
28,0,-1.10,-0.09,0.05
117,0,-0.33,-0.12,0.05
207,0,-0.50,0.01,-0.13
296,0,-0.04,0.03,-0.13
385,0,0.23,0.01,-0.13
475,0,-0.21,0.03,-0.13
564,1,2.81,-0.00,12.15
655,1,65.80,-2.77,7.02
744,1,183.67,-10.52,2.07
834,1,201.79,-19.31,0.78
923,1,198.52,-28.99,0.42
1013,1,195.48,-35.66,0.42
1102,1,188.65,-38.20,0.42
1191,1,185.65,-38.56,0.42
1281,1,185.63,-38.53,0.42
1370,1,185.11,-38.63,0.60
1460,1,185.11,-39.00,0.23
1550,1,184.70,-38.86,0.42
1640,1,183.48,-39.34,0.42
1729,1,183.34,-39.45,0.42
1818,1,183.56,-39.54,0.60
1908,1,182.90,-39.66,0.42
1997,1,183.27,-39.86,0.42
2087,1,182.61,-39.88,0.60
2176,1,182.30,-40.02,0.42
2265,1,181.56,-40.27,0.42
2355,1,180.85,-40.32,0.42
2445,1,181.64,-40.62,0.42
2535,0,179.43,-40.53,-0.13
2624,0,161.45,-40.41,-0.13
2714,0,133.36,-37.97,0.05
2803,0,94.33,-30.05,-0.13
2892,0,45.03,-18.84,-0.13
2982,0,12.89,-9.09,0.05
3071,0,3.29,-4.92,-0.13
3161,0,2.38,-4.13,-0.13
3250,0,-0.29,-3.67,-0.13
3340,0,0.33,-3.48,0.05
3430,0,2.36,-3.90,0.05
3519,0,1.01,-3.52,0.05
3609,0,3.48,-3.73,-0.13
3698,0,2.67,-3.84,-0.13
3788,0,1.80,-3.69,0.05
3877,0,3.04,-3.91,0.05
3966,0,2.44,-3.98,-0.13
