# taring - hands off
"# ambient_hPa,1020.40"
"# ambient_C,20.38"
# send f to fire
"# plenum_C_start,20.25"
"# tank_C_start,16.50"
"# plenum_C_end,20.00"
"# tank_C_end,16.50"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-0.89,-0.33,0.01
3,0,-0.66,0.27,0.01
84,0,-1.34,0.19,0.19
172,0,-1.18,0.08,0.01
260,0,-1.51,-0.11,0.01
348,0,-1.12,0.16,0.01
436,0,-1.28,-0.00,0.19
524,1,-2.28,0.12,3.86
612,1,5.21,-2.27,2.39
702,1,55.46,-4.92,1.11
790,1,97.90,-7.42,0.37
878,1,100.57,-9.23,0.19
966,1,98.77,-10.55,0.19
1054,1,95.44,-10.68,0.19
1142,1,95.26,-11.25,0.19
1230,1,95.46,-11.51,0.01
1318,1,94.08,-11.98,0.19
1406,1,94.93,-12.08,0.19
1494,1,93.85,-12.39,0.19
1582,1,93.42,-12.38,0.37
1670,1,93.97,-12.67,0.19
1758,1,94.53,-12.58,0.19
1846,1,94.62,-12.63,0.37
1934,1,93.64,-12.76,0.37
2022,1,93.60,-13.11,0.19
2111,1,94.47,-12.90,0.37
2199,1,93.71,-13.27,0.01
2288,1,93.95,-13.45,0.19
2376,1,94.10,-13.53,0.19
2464,1,93.58,-13.49,0.19
2552,0,94.24,-13.81,0.01
2640,0,86.55,-13.27,0.01
2728,0,77.59,-12.94,0.01
2816,0,62.37,-11.69,0.19
2904,0,38.62,-10.10,0.01
2992,0,16.22,-7.93,0.01
3080,0,6.76,-6.91,0.01
3168,0,2.96,-6.25,0.01
3256,0,1.22,-6.10,0.19
3344,0,0.02,-5.85,0.01
3433,0,-1.26,-5.73,0.01
3521,0,-1.61,-5.42,0.19
3609,0,-1.18,-5.39,0.01
3697,0,-2.77,-5.23,0.01
3785,0,-2.88,-5.35,0.01
3873,0,-4.10,-5.17,0.01
3962,0,-3.56,-5.02,0.01
