# taring - hands off
"# ambient_hPa,1019.94"
"# ambient_C,19.62"
# send f to fire
"# plenum_C_start,20.00"
"# tank_C_start,19.25"
"# plenum_C_end,19.75"
"# tank_C_end,19.00"
# done
ms,valve,thrust_g,tank_g,psi
0,0,0.58,-0.04,-0.21
3,0,0.08,0.02,-0.02
84,0,0.08,-0.06,-0.02
174,0,0.89,-0.11,-0.02
263,0,1.08,-0.16,-0.02
353,0,0.31,-0.10,-0.02
443,0,0.27,-0.08,-0.02
532,1,2.73,-0.06,3.83
623,1,37.56,-1.73,2.73
712,1,92.15,-5.49,1.44
802,1,109.14,-8.16,0.53
891,1,112.72,-10.37,0.34
981,1,113.44,-12.00,0.34
1071,1,112.61,-12.58,0.34
1160,1,110.13,-13.04,0.16
1250,1,108.99,-13.06,0.34
1339,1,108.68,-12.95,0.16
1429,1,107.23,-12.94,0.16
1519,1,107.07,-13.06,0.16
1609,1,107.34,-13.14,0.34
1698,1,107.77,-13.19,0.34
1788,1,108.06,-13.34,0.34
1878,1,107.81,-13.35,0.34
1967,1,107.36,-13.53,0.34
2057,1,107.44,-13.61,0.16
2146,1,107.48,-13.72,0.16
2236,1,107.81,-13.71,0.34
2325,1,107.05,-13.99,0.16
2416,1,107.15,-13.94,0.34
2505,0,105.02,-14.07,-0.02
2595,0,94.08,-14.10,-0.02
2684,0,80.32,-14.00,-0.21
2774,0,53.62,-13.32,-0.02
2864,0,27.70,-11.17,0.16
2953,0,16.44,-8.59,-0.02
3043,0,12.37,-6.97,-0.02
3132,0,10.61,-6.15,-0.02
3222,0,9.10,-5.80,-0.02
3312,0,7.41,-5.66,-0.02
3402,0,6.56,-5.35,-0.02
3491,0,6.18,-5.34,-0.02
3581,0,6.29,-5.15,-0.02
3670,0,5.59,-4.99,-0.02
3760,0,5.34,-4.95,-0.02
3849,0,5.17,-4.92,-0.02
3939,0,5.27,-4.66,0.16
