# taring - hands off
"# ambient_hPa,1020.56"
"# ambient_C,21.83"
# send f to fire
"# plenum_C_start,22.75"
"# tank_C_start,19.50"
"# plenum_C_end,22.25"
"# tank_C_end,22.00"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-0.19,-0.18,0.08
2,0,-0.54,-0.29,0.08
81,0,0.08,-0.24,-0.11
169,0,0.19,-0.15,-0.11
257,0,0.33,-0.14,0.08
345,0,0.04,-0.32,0.08
433,0,-0.10,-0.32,0.08
521,1,0.10,-0.39,10.71
609,1,13.84,-4.81,3.74
697,1,114.43,-17.13,0.99
785,1,200.75,-29.89,0.63
873,1,210.23,-36.08,0.26
961,1,202.92,-37.29,0.44
1049,1,197.77,-37.58,0.26
1137,1,194.49,-37.57,0.26
1225,1,196.60,-37.97,0.26
1314,1,195.04,-37.85,0.44
1402,1,193.22,-38.04,0.26
1490,1,195.33,-38.15,0.44
1578,1,193.41,-38.24,0.26
1666,1,193.99,-38.30,0.44
1754,1,193.95,-38.44,0.44
1842,1,192.58,-38.60,0.44
1930,1,193.64,-38.73,0.26
2018,1,191.69,-38.91,0.44
2106,1,191.94,-38.84,0.26
2194,1,191.22,-39.02,0.44
2282,1,190.08,-39.00,0.44
2370,1,191.94,-39.19,0.44
2458,1,191.65,-39.31,0.44
2546,0,190.53,-39.28,-0.11
2634,0,177.73,-38.46,0.08
2723,0,153.49,-34.21,-0.11
2811,0,125.75,-25.57,0.08
2899,0,83.05,-15.31,0.08
2987,0,38.76,-6.56,0.08
3075,0,15.70,-2.99,-0.11
3163,0,9.76,-2.09,-0.11
3251,0,8.73,-1.70,-0.11
3339,0,6.85,-1.96,0.08
3427,0,9.66,-1.93,0.08
3515,0,9.52,-1.93,0.08
3603,0,9.45,-2.08,-0.11
3691,0,11.81,-1.95,-0.11
3780,0,10.28,-2.04,0.08
3869,0,10.78,-2.21,0.08
3960,0,10.86,-2.10,-0.11
