# taring - hands off
"# ambient_hPa,1020.80"
"# ambient_C,22.03"
# send f to fire
"# plenum_C_start,22.50"
"# tank_C_start,19.50"
"# plenum_C_end,22.50"
"# tank_C_end,19.75"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-0.04,0.14,0.01
3,0,-0.43,-0.02,0.01
43,0,0.10,0.04,-0.17
133,0,0.60,-0.05,0.01
222,0,0.35,0.14,0.01
312,0,0.35,0.00,-0.17
402,0,0.35,0.14,-0.17
492,0,-0.33,0.01,0.01
581,1,1.57,0.02,1.48
670,1,34.23,-1.03,1.30
760,1,80.47,-2.01,1.11
849,1,84.58,-2.69,1.11
939,1,81.38,-3.08,0.93
1028,1,80.05,-3.27,0.56
1118,1,75.05,-3.23,0.38
1207,1,69.38,-3.71,0.38
1297,1,67.97,-3.84,0.38
1387,1,65.49,-3.94,0.20
1476,1,64.79,-4.16,0.20
1566,1,64.83,-4.28,0.20
1655,1,64.37,-4.37,0.38
1744,1,64.58,-4.46,0.38
1834,1,64.44,-4.59,0.38
1923,1,64.62,-4.70,0.38
2013,1,63.90,-4.92,0.38
2102,1,63.84,-4.81,0.38
2193,1,64.79,-4.96,0.20
2282,1,63.36,-5.27,0.38
2371,1,64.02,-5.42,0.38
2461,1,64.21,-5.33,0.38
2550,0,61.39,-5.57,0.01
2640,0,48.98,-5.48,0.01
2729,0,30.30,-4.83,-0.17
2819,0,13.96,-4.73,0.01
2908,0,7.14,-4.46,0.01
2997,0,6.43,-4.20,0.01
3088,0,6.23,-4.01,0.01
3177,0,4.67,-3.77,0.01
3267,0,4.76,-3.66,0.01
3356,0,5.09,-3.54,0.01
3445,0,4.03,-3.52,0.01
3535,0,4.22,-3.37,0.01
3624,0,5.09,-3.49,0.01
3714,0,5.23,-3.42,0.01
3803,0,5.19,-3.49,0.01
3892,0,4.80,-3.27,0.01
3983,0,4.67,-3.48,0.01
