# taring - hands off
"# ambient_hPa,1020.44"
"# ambient_C,20.37"
# send f to fire
"# plenum_C_start,20.50"
"# tank_C_start,16.25"
"# plenum_C_end,20.25"
"# tank_C_end,16.00"
# done
ms,valve,thrust_g,tank_g,psi
0,0,-2.40,0.26,-0.01
2,0,-2.46,0.18,-0.01
89,0,-1.97,0.22,-0.01
179,0,-1.70,0.25,-0.01
268,0,-0.68,0.22,-0.01
359,0,-1.47,0.21,-0.01
448,0,-2.11,0.26,-0.01
538,1,0.46,0.35,4.02
627,1,31.40,-0.92,2.74
717,1,77.47,-3.27,1.28
806,1,101.44,-5.08,0.36
896,1,102.68,-7.08,0.36
985,1,100.39,-8.65,0.18
1075,1,99.17,-9.11,0.18
1164,1,97.12,-9.56,0.18
1255,1,98.40,-9.93,0.18
1345,1,97.28,-10.25,0.18
1434,1,96.64,-10.38,0.18
1524,1,97.97,-10.74,0.18
1613,1,97.20,-10.93,0.18
1703,1,97.47,-11.00,0.18
1792,1,96.21,-11.18,0.18
1882,1,96.42,-11.19,0.18
1971,1,97.04,-11.38,-0.01
2061,1,96.83,-11.34,0.18
2151,1,97.24,-11.44,0.18
2241,1,96.87,-11.57,0.18
2330,1,97.93,-11.69,0.18
2420,1,98.28,-11.76,-0.01
2509,0,94.62,-12.06,-0.01
2599,0,85.51,-12.02,-0.01
2688,0,76.72,-11.66,-0.19
2778,0,57.63,-11.08,-0.01
2867,0,33.45,-9.86,-0.01
2957,0,14.85,-7.87,-0.01
3047,0,8.07,-6.03,-0.19
3137,0,6.18,-5.13,-0.01
3226,0,5.48,-4.73,-0.01
3316,0,4.72,-4.54,-0.01
3405,0,3.60,-4.33,-0.01
3495,0,3.52,-4.13,-0.01
3584,0,2.61,-3.97,-0.01
3674,0,2.13,-3.97,-0.01
3763,0,1.22,-3.81,-0.01
3853,0,0.66,-3.84,-0.01
3944,0,2.03,-3.74,-0.01
